,sessionID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,userID,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,cluster
3074,2_39_138_29_2018-06-18 14:33:03.983186,"Mon, 18 Jun 2018 14:33:04 GMT","Tue, 19 Jun 2018 00:53:28 GMT","Tue, 19 Jun 2018 00:22:40 GMT",19.9,000000061,250.0,5.0,20.0,537.0,"Mon, 18 Jun 2018 14:33:17 GMT",True,"Mon, 18 Jun 2018 23:30:04 GMT",1.0
3087,2_39_139_567_2018-06-18 15:24:42.676954,"Mon, 18 Jun 2018 15:24:43 GMT","Mon, 18 Jun 2018 23:58:39 GMT","Mon, 18 Jun 2018 23:29:37 GMT",15.918,000000162,200.0,16.0,80.0,231.0,"Mon, 18 Jun 2018 15:26:05 GMT",True,"Mon, 18 Jun 2018 19:15:43 GMT",1.0
3143,2_39_138_29_2018-06-19 14:30:26.698782,"Tue, 19 Jun 2018 14:30:27 GMT","Wed, 20 Jun 2018 00:40:44 GMT","Tue, 19 Jun 2018 21:44:19 GMT",24.048,000000061,250.0,25.0,100.0,34.0,"Tue, 19 Jun 2018 14:31:10 GMT",True,"Tue, 19 Jun 2018 15:04:27 GMT",1.0
3404,2_39_89_439_2018-06-22 20:11:23.086482,"Fri, 22 Jun 2018 20:11:23 GMT","Fri, 22 Jun 2018 21:35:39 GMT","Fri, 22 Jun 2018 21:25:51 GMT",1.659,000000001,500.0,5.0,10.0,150.0,"Fri, 22 Jun 2018 20:12:18 GMT",True,"Fri, 22 Jun 2018 22:41:23 GMT",0.0
3517,2_39_138_29_2018-06-25 15:14:53.333464,"Mon, 25 Jun 2018 15:14:53 GMT","Mon, 25 Jun 2018 23:42:49 GMT","Mon, 25 Jun 2018 21:42:31 GMT",21.218,000000162,400.0,32.0,80.0,233.0,"Mon, 25 Jun 2018 15:16:22 GMT",True,"Mon, 25 Jun 2018 19:07:53 GMT",1.0
3605,2_39_130_31_2018-06-26 15:48:03.462175,"Tue, 26 Jun 2018 15:48:03 GMT","Tue, 26 Jun 2018 22:17:40 GMT","Tue, 26 Jun 2018 21:35:54 GMT",17.292,000000162,400.0,20.0,50.0,171.0,"Tue, 26 Jun 2018 15:50:51 GMT",True,"Tue, 26 Jun 2018 18:39:03 GMT",1.0
3854,2_39_139_28_2018-06-30 08:28:19.857703,"Sat, 30 Jun 2018 08:28:20 GMT","Sat, 30 Jun 2018 21:51:19 GMT","Sat, 30 Jun 2018 14:47:07 GMT",41.668,000000067,250.0,60.0,240.0,398.0,"Sat, 30 Jun 2018 08:29:02 GMT",True,"Sat, 30 Jun 2018 15:06:20 GMT",1.0
3941,2_39_79_380_2018-07-02 13:52:22.922710,"Mon, 02 Jul 2018 13:52:23 GMT","Mon, 02 Jul 2018 23:05:39 GMT","Mon, 02 Jul 2018 19:25:06 GMT",10.411,000000066,400.0,28.0,70.0,544.0,"Mon, 02 Jul 2018 13:53:09 GMT",True,"Mon, 02 Jul 2018 22:56:23 GMT",1.0
4367,2_39_123_557_2018-07-09 20:07:36.746469,"Mon, 09 Jul 2018 20:07:37 GMT","Tue, 10 Jul 2018 02:08:23 GMT","Mon, 09 Jul 2018 22:46:45 GMT",17.077,000000022,350.0,21.0,60.0,283.0,"Mon, 09 Jul 2018 20:08:50 GMT",True,"Tue, 10 Jul 2018 00:50:37 GMT",2.0
4396,2_39_139_28_2018-07-10 05:04:49.918782,"Tue, 10 Jul 2018 05:04:50 GMT","Wed, 11 Jul 2018 06:09:53 GMT","Wed, 11 Jul 2018 05:11:26 GMT",45.735,000000067,250.0,60.0,240.0,448.0,"Tue, 10 Jul 2018 05:05:28 GMT",True,"Tue, 10 Jul 2018 12:32:50 GMT",1.0
