,sessionID,connectionTime,disconnectTime,doneChargingTime,kWhDelivered,userID,WhPerMile,kWhRequested,milesRequested,minutesAvailable,modifiedAt,paymentRequired,requestedDeparture,cluster
13646,2_39_91_437_2018-11-12 17:55:31.305908,"Mon, 12 Nov 2018 17:55:31 GMT","Tue, 13 Nov 2018 02:15:32 GMT","Mon, 12 Nov 2018 19:20:27 GMT",2.845,000000515,235.0,39.95,170.0,289.0,"Mon, 12 Nov 2018 17:56:08 GMT",True,"Mon, 12 Nov 2018 22:44:31 GMT",0.0
13647,2_39_88_24_2018-11-12 18:27:46.426862,"Mon, 12 Nov 2018 18:27:46 GMT","Tue, 13 Nov 2018 02:40:48 GMT","Mon, 12 Nov 2018 20:17:45 GMT",11.218,000000668,400.0,32.0,80.0,116.0,"Mon, 12 Nov 2018 18:28:43 GMT",True,"Mon, 12 Nov 2018 20:23:46 GMT",0.0
13648,2_39_79_378_2018-11-12 18:30:48.288555,"Mon, 12 Nov 2018 18:30:48 GMT","Tue, 13 Nov 2018 02:05:29 GMT","Tue, 13 Nov 2018 02:05:25 GMT",18.5,000001123,346.0,41.52,120.0,397.0,"Mon, 12 Nov 2018 18:31:59 GMT",True,"Tue, 13 Nov 2018 01:07:48 GMT",0.0
13649,2_39_79_380_2018-11-12 20:30:54.794937,"Mon, 12 Nov 2018 20:30:55 GMT","Tue, 13 Nov 2018 00:13:57 GMT","Mon, 12 Nov 2018 21:25:05 GMT",1.513,000000066,313.0,12.52,40.0,435.0,"Mon, 12 Nov 2018 20:31:13 GMT",True,"Tue, 13 Nov 2018 03:45:55 GMT",1.0
13650,2_39_89_25_2018-11-12 20:45:11.704845,"Mon, 12 Nov 2018 20:45:12 GMT","Tue, 13 Nov 2018 02:29:53 GMT","Mon, 12 Nov 2018 22:47:37 GMT",6.736,000001124,400.0,8.0,20.0,53.0,"Mon, 12 Nov 2018 20:45:18 GMT",True,"Mon, 12 Nov 2018 21:38:12 GMT",0.0
13651,2_39_78_361_2018-11-12 21:10:59.385453,"Mon, 12 Nov 2018 21:10:59 GMT","Tue, 13 Nov 2018 03:54:13 GMT","Mon, 12 Nov 2018 22:17:19 GMT",3.61,000000567,500.0,10.0,20.0,264.0,"Mon, 12 Nov 2018 21:11:29 GMT",True,"Tue, 13 Nov 2018 01:34:59 GMT",1.0
13652,2_39_91_441_2018-11-12 21:13:29.585081,"Mon, 12 Nov 2018 21:13:30 GMT","Mon, 12 Nov 2018 23:00:01 GMT","Mon, 12 Nov 2018 22:11:29 GMT",6.481,000000609,400.0,20.0,50.0,160.0,"Mon, 12 Nov 2018 21:13:46 GMT",True,"Mon, 12 Nov 2018 23:53:30 GMT",0.0
13653,2_39_95_444_2018-11-12 21:25:35.360279,"Mon, 12 Nov 2018 21:25:35 GMT","Tue, 13 Nov 2018 09:59:07 GMT","Mon, 12 Nov 2018 22:28:30 GMT",2.091,000001082,400.0,16.0,40.0,295.0,"Mon, 12 Nov 2018 21:26:02 GMT",True,"Tue, 13 Nov 2018 02:20:35 GMT",1.0
13656,2_39_89_439_2018-11-12 22:50:57.753978,"Mon, 12 Nov 2018 22:50:58 GMT","Tue, 13 Nov 2018 01:06:35 GMT","Mon, 12 Nov 2018 23:25:26 GMT",3.872,000001243,278.0,19.46,70.0,544.0,"Mon, 12 Nov 2018 22:51:13 GMT",True,"Tue, 13 Nov 2018 07:54:58 GMT",2.0
13657,2_39_79_376_2018-11-12 22:53:41.145009,"Mon, 12 Nov 2018 22:53:41 GMT","Tue, 13 Nov 2018 00:40:52 GMT","Tue, 13 Nov 2018 00:40:49 GMT",3.22,000000222,259.0,36.26,140.0,203.0,"Mon, 12 Nov 2018 22:53:55 GMT",True,"Tue, 13 Nov 2018 02:16:41 GMT",0.0
13659,2_39_91_441_2018-11-12 23:06:16.588795,"Mon, 12 Nov 2018 23:06:17 GMT","Tue, 13 Nov 2018 00:58:46 GMT","Tue, 13 Nov 2018 00:37:33 GMT",4.98,000000566,278.0,8.34,30.0,118.0,"Mon, 12 Nov 2018 23:08:24 GMT",True,"Tue, 13 Nov 2018 01:04:17 GMT",2.0
13660,2_39_78_364_2018-11-12 23:47:02.505002,"Mon, 12 Nov 2018 23:47:02 GMT","Tue, 13 Nov 2018 02:21:02 GMT","Tue, 13 Nov 2018 02:20:58 GMT",8.684,000000632,400.0,16.0,40.0,137.0,"Mon, 12 Nov 2018 23:47:09 GMT",True,"Tue, 13 Nov 2018 02:04:02 GMT",1.0
13661,2_39_78_363_2018-11-13 00:23:12.643161,"Tue, 13 Nov 2018 00:23:13 GMT","Tue, 13 Nov 2018 01:56:20 GMT","Tue, 13 Nov 2018 01:56:11 GMT",4.908,000000774,400.0,8.0,20.0,60.0,"Tue, 13 Nov 2018 00:28:55 GMT",True,"Tue, 13 Nov 2018 01:23:13 GMT",0.0
13662,2_39_79_380_2018-11-13 00:37:55.604598,"Tue, 13 Nov 2018 00:37:56 GMT","Tue, 13 Nov 2018 05:39:43 GMT","Tue, 13 Nov 2018 05:37:37 GMT",16.077,000000838,575.0,34.5,60.0,192.0,"Tue, 13 Nov 2018 00:41:11 GMT",True,"Tue, 13 Nov 2018 03:49:56 GMT",1.0
13663,2_39_79_376_2018-11-13 01:18:33.932324,"Tue, 13 Nov 2018 01:18:34 GMT","Tue, 13 Nov 2018 04:34:41 GMT","Tue, 13 Nov 2018 04:34:36 GMT",11.668,000001135,400.0,20.0,50.0,193.0,"Tue, 13 Nov 2018 01:18:38 GMT",True,"Tue, 13 Nov 2018 04:31:34 GMT",2.0
13665,2_39_131_30_2018-11-13 02:30:26.916087,"Tue, 13 Nov 2018 02:30:27 GMT","Tue, 13 Nov 2018 04:14:09 GMT","Tue, 13 Nov 2018 04:14:01 GMT",11.778,000000637,426.0,21.3,50.0,120.0,"Tue, 13 Nov 2018 02:30:29 GMT",True,"Tue, 13 Nov 2018 04:30:27 GMT",0.0
13667,2_39_79_378_2018-11-13 06:44:45.640983,"Tue, 13 Nov 2018 06:44:46 GMT","Tue, 13 Nov 2018 10:34:14 GMT","Tue, 13 Nov 2018 07:21:28 GMT",1.491,000001093,600.0,12.0,20.0,196.0,"Tue, 13 Nov 2018 06:45:15 GMT",True,"Tue, 13 Nov 2018 10:00:46 GMT",0.0
13669,2_39_79_380_2018-11-13 14:23:34.124820,"Tue, 13 Nov 2018 14:23:34 GMT","Wed, 14 Nov 2018 01:20:09 GMT","Tue, 13 Nov 2018 18:32:56 GMT",11.131,000000677,325.0,13.0,40.0,647.0,"Tue, 13 Nov 2018 14:24:30 GMT",True,"Wed, 14 Nov 2018 01:10:34 GMT",1.0
13670,2_39_129_17_2018-11-13 14:26:29.687251,"Tue, 13 Nov 2018 14:26:30 GMT","Tue, 13 Nov 2018 19:28:45 GMT","Tue, 13 Nov 2018 19:28:42 GMT",34.366,000000556,261.0,57.42,220.0,459.0,"Tue, 13 Nov 2018 14:26:52 GMT",True,"Tue, 13 Nov 2018 22:05:30 GMT",1.0
13671,2_39_79_377_2018-11-13 14:28:04.300171,"Tue, 13 Nov 2018 14:28:04 GMT","Tue, 13 Nov 2018 18:57:01 GMT","Tue, 13 Nov 2018 17:22:34 GMT",9.376,000000566,200.0,10.0,50.0,107.0,"Tue, 13 Nov 2018 14:29:04 GMT",True,"Tue, 13 Nov 2018 16:15:04 GMT",2.0
13672,2_39_139_28_2018-11-13 14:28:28.262479,"Tue, 13 Nov 2018 14:28:28 GMT","Tue, 13 Nov 2018 15:26:53 GMT","Tue, 13 Nov 2018 15:26:43 GMT",5.761,000001215,429.0,12.87,30.0,26.0,"Tue, 13 Nov 2018 14:31:07 GMT",True,"Tue, 13 Nov 2018 14:54:28 GMT",0.0
13673,2_39_79_381_2018-11-13 15:00:28.887927,"Tue, 13 Nov 2018 15:00:29 GMT","Wed, 14 Nov 2018 00:08:22 GMT","Tue, 13 Nov 2018 16:25:10 GMT",6.441,000000066,313.0,12.52,40.0,435.0,"Tue, 13 Nov 2018 15:01:53 GMT",True,"Tue, 13 Nov 2018 22:15:29 GMT",1.0
13674,2_39_78_363_2018-11-13 15:11:26.864704,"Tue, 13 Nov 2018 15:11:27 GMT","Tue, 13 Nov 2018 19:54:03 GMT","Tue, 13 Nov 2018 19:23:18 GMT",18.107,000000560,273.0,21.84,80.0,304.0,"Tue, 13 Nov 2018 15:11:55 GMT",True,"Tue, 13 Nov 2018 20:15:27 GMT",0.0
13675,2_39_91_441_2018-11-13 15:12:09.136266,"Tue, 13 Nov 2018 15:12:09 GMT","Tue, 13 Nov 2018 23:52:26 GMT","Tue, 13 Nov 2018 23:08:03 GMT",9.945,000000674,500.0,10.0,20.0,499.0,"Tue, 13 Nov 2018 15:12:35 GMT",True,"Tue, 13 Nov 2018 23:31:09 GMT",0.0
13676,2_39_78_366_2018-11-13 15:24:52.739653,"Tue, 13 Nov 2018 15:24:53 GMT","Wed, 14 Nov 2018 00:32:15 GMT","Tue, 13 Nov 2018 23:32:47 GMT",11.336,000000569,300.0,18.0,60.0,477.0,"Tue, 13 Nov 2018 15:25:25 GMT",True,"Tue, 13 Nov 2018 23:21:53 GMT",1.0
13677,2_39_123_23_2018-11-13 15:55:46.254768,"Tue, 13 Nov 2018 15:55:46 GMT","Wed, 14 Nov 2018 00:42:27 GMT","Tue, 13 Nov 2018 17:54:34 GMT",6.375,000000858,400.0,8.0,20.0,56.0,"Tue, 13 Nov 2018 15:56:24 GMT",True,"Tue, 13 Nov 2018 16:51:46 GMT",1.0
13678,2_39_78_367_2018-11-13 16:03:06.727709,"Tue, 13 Nov 2018 16:03:07 GMT","Tue, 13 Nov 2018 19:28:39 GMT","Tue, 13 Nov 2018 17:31:05 GMT",2.887,000000686,400.0,4.0,10.0,195.0,"Tue, 13 Nov 2018 16:03:37 GMT",True,"Tue, 13 Nov 2018 19:18:07 GMT",2.0
13679,2_39_79_379_2018-11-13 16:24:55.612163,"Tue, 13 Nov 2018 16:24:56 GMT","Tue, 13 Nov 2018 23:11:48 GMT","Tue, 13 Nov 2018 17:45:42 GMT",5.088,000001126,250.0,20.0,80.0,394.0,"Tue, 13 Nov 2018 16:25:22 GMT",True,"Tue, 13 Nov 2018 22:58:56 GMT",1.0
13680,2_39_79_378_2018-11-13 16:25:57.484833,"Tue, 13 Nov 2018 16:25:57 GMT","Wed, 14 Nov 2018 01:42:10 GMT","Tue, 13 Nov 2018 18:46:48 GMT",5.313,000001097,600.0,12.0,20.0,548.0,"Tue, 13 Nov 2018 16:26:35 GMT",True,"Wed, 14 Nov 2018 01:33:57 GMT",1.0
13681,2_39_79_383_2018-11-13 16:31:05.727234,"Tue, 13 Nov 2018 16:31:06 GMT","Wed, 14 Nov 2018 01:39:17 GMT","Tue, 13 Nov 2018 19:29:06 GMT",9.161,000000632,400.0,16.0,40.0,537.0,"Tue, 13 Nov 2018 16:31:19 GMT",True,"Wed, 14 Nov 2018 01:28:06 GMT",1.0
13682,2_39_91_437_2018-11-13 16:31:48.100882,"Tue, 13 Nov 2018 16:31:48 GMT","Wed, 14 Nov 2018 01:04:40 GMT","Tue, 13 Nov 2018 19:43:21 GMT",14.37,000000159,200.0,20.0,100.0,425.0,"Tue, 13 Nov 2018 16:31:58 GMT",True,"Tue, 13 Nov 2018 23:36:48 GMT",1.0
13683,2_39_125_21_2018-11-13 16:38:51.242683,"Tue, 13 Nov 2018 16:38:51 GMT","Tue, 13 Nov 2018 23:53:50 GMT","Tue, 13 Nov 2018 18:46:31 GMT",12.569,000000068,250.0,15.0,60.0,394.0,"Tue, 13 Nov 2018 16:39:26 GMT",True,"Tue, 13 Nov 2018 23:12:51 GMT",0.0
13684,2_39_95_444_2018-11-13 16:43:10.565628,"Tue, 13 Nov 2018 16:43:11 GMT","Wed, 14 Nov 2018 02:14:28 GMT","Tue, 13 Nov 2018 18:24:07 GMT",10.296,000000069,200.0,20.0,100.0,216.0,"Tue, 13 Nov 2018 16:43:20 GMT",True,"Tue, 13 Nov 2018 20:19:11 GMT",2.0
13685,2_39_78_361_2018-11-13 16:43:24.258845,"Tue, 13 Nov 2018 16:43:24 GMT","Wed, 14 Nov 2018 02:30:56 GMT","Wed, 14 Nov 2018 02:20:41 GMT",12.599,000001102,250.0,12.5,50.0,557.0,"Tue, 13 Nov 2018 16:43:48 GMT",True,"Wed, 14 Nov 2018 02:00:24 GMT",1.0
13688,2_39_89_25_2018-11-13 16:55:27.440331,"Tue, 13 Nov 2018 16:55:27 GMT","Wed, 14 Nov 2018 01:21:49 GMT","Tue, 13 Nov 2018 19:02:12 GMT",13.667,000000945,600.0,30.0,50.0,620.0,"Tue, 13 Nov 2018 16:55:43 GMT",True,"Wed, 14 Nov 2018 03:15:27 GMT",1.0
13689,2_39_88_24_2018-11-13 17:05:50.241243,"Tue, 13 Nov 2018 17:05:50 GMT","Wed, 14 Nov 2018 07:08:18 GMT","Tue, 13 Nov 2018 18:08:14 GMT",1.891,000000324,400.0,6.0,15.0,106.0,"Tue, 13 Nov 2018 17:05:51 GMT",True,"Tue, 13 Nov 2018 18:51:50 GMT",1.0
13690,2_39_88_438_2018-11-13 17:06:37.077334,"Tue, 13 Nov 2018 17:06:37 GMT","Wed, 14 Nov 2018 05:05:07 GMT","Tue, 13 Nov 2018 18:38:32 GMT",4.151,000000743,400.0,8.0,20.0,492.0,"Tue, 13 Nov 2018 17:06:55 GMT",True,"Wed, 14 Nov 2018 01:18:37 GMT",0.0
13691,2_39_95_27_2018-11-13 17:08:31.798371,"Tue, 13 Nov 2018 17:08:32 GMT","Wed, 14 Nov 2018 02:42:14 GMT","Tue, 13 Nov 2018 19:03:35 GMT",6.27,000000567,500.0,10.0,20.0,263.0,"Tue, 13 Nov 2018 17:08:49 GMT",True,"Tue, 13 Nov 2018 21:31:32 GMT",1.0
13692,2_39_92_442_2018-11-13 17:08:56.873654,"Tue, 13 Nov 2018 17:08:57 GMT","Tue, 13 Nov 2018 19:41:35 GMT","Tue, 13 Nov 2018 19:41:31 GMT",17.257,000000564,231.0,46.2,200.0,540.0,"Tue, 13 Nov 2018 17:09:34 GMT",True,"Wed, 14 Nov 2018 02:08:57 GMT",2.0
13693,2_39_130_31_2018-11-13 17:10:48.684501,"Tue, 13 Nov 2018 17:10:49 GMT","Wed, 14 Nov 2018 01:38:51 GMT","Wed, 14 Nov 2018 01:36:11 GMT",3.875,000000634,200.0,4.0,20.0,60.0,"Tue, 13 Nov 2018 17:10:50 GMT",True,"Tue, 13 Nov 2018 18:10:49 GMT",2.0
13697,2_39_89_439_2018-11-13 17:45:26.289162,"Tue, 13 Nov 2018 17:45:26 GMT","Wed, 14 Nov 2018 00:35:14 GMT","Tue, 13 Nov 2018 18:47:45 GMT",6.764,000000714,200.0,16.0,80.0,189.0,"Tue, 13 Nov 2018 17:45:59 GMT",True,"Tue, 13 Nov 2018 20:54:26 GMT",2.0
13698,2_39_131_565_2018-11-13 17:48:19.727973,"Tue, 13 Nov 2018 17:48:20 GMT","Wed, 14 Nov 2018 01:00:22 GMT","Tue, 13 Nov 2018 23:17:10 GMT",35.892,000001257,400.0,32.0,80.0,60.0,"Tue, 13 Nov 2018 17:51:41 GMT",True,"Tue, 13 Nov 2018 18:48:20 GMT",2.0
13699,2_39_92_436_2018-11-13 18:05:02.709311,"Tue, 13 Nov 2018 18:05:03 GMT","Wed, 14 Nov 2018 01:32:26 GMT","Tue, 13 Nov 2018 20:14:43 GMT",6.948,000000559,313.0,9.39,30.0,444.0,"Tue, 13 Nov 2018 18:05:22 GMT",True,"Wed, 14 Nov 2018 01:29:03 GMT",1.0
13700,2_39_78_365_2018-11-13 18:09:22.500669,"Tue, 13 Nov 2018 18:09:22 GMT","Wed, 14 Nov 2018 03:18:23 GMT","Wed, 14 Nov 2018 02:07:55 GMT",10.182,000001092,600.0,24.0,40.0,475.0,"Tue, 13 Nov 2018 18:09:27 GMT",True,"Wed, 14 Nov 2018 02:04:22 GMT",1.0
13701,2_39_78_360_2018-11-13 18:23:50.596018,"Tue, 13 Nov 2018 18:23:51 GMT","Wed, 14 Nov 2018 01:57:14 GMT","Wed, 14 Nov 2018 01:41:15 GMT",6.199,000000697,300.0,6.0,20.0,409.0,"Tue, 13 Nov 2018 18:24:16 GMT",True,"Wed, 14 Nov 2018 01:12:51 GMT",2.0
13702,2_39_123_557_2018-11-13 18:31:32.987707,"Tue, 13 Nov 2018 18:31:33 GMT","Tue, 13 Nov 2018 20:13:45 GMT","Tue, 13 Nov 2018 19:23:18 GMT",5.585,000000609,400.0,20.0,50.0,240.0,"Tue, 13 Nov 2018 18:33:18 GMT",True,"Tue, 13 Nov 2018 22:31:33 GMT",0.0
13703,2_39_79_377_2018-11-13 19:00:49.732477,"Tue, 13 Nov 2018 19:00:50 GMT","Tue, 13 Nov 2018 22:23:23 GMT","Tue, 13 Nov 2018 20:18:47 GMT",8.082,000001001,240.0,19.2,80.0,307.0,"Tue, 13 Nov 2018 19:00:51 GMT",True,"Wed, 14 Nov 2018 00:07:50 GMT",0.0
13704,2_39_129_17_2018-11-13 20:02:34.119716,"Tue, 13 Nov 2018 20:02:34 GMT","Tue, 13 Nov 2018 22:24:46 GMT","Tue, 13 Nov 2018 22:05:00 GMT",12.601,000000556,261.0,26.1,100.0,184.0,"Tue, 13 Nov 2018 20:02:54 GMT",True,"Tue, 13 Nov 2018 23:06:34 GMT",1.0
13705,2_39_78_363_2018-11-13 20:26:49.555600,"Tue, 13 Nov 2018 20:26:50 GMT","Wed, 14 Nov 2018 03:29:29 GMT","Tue, 13 Nov 2018 22:40:08 GMT",6.642,000001124,400.0,8.0,20.0,53.0,"Tue, 13 Nov 2018 20:26:54 GMT",True,"Tue, 13 Nov 2018 21:19:50 GMT",0.0
13706,2_39_139_28_2018-11-13 20:30:29.033054,"Tue, 13 Nov 2018 20:30:29 GMT","Tue, 13 Nov 2018 23:57:10 GMT","Tue, 13 Nov 2018 21:27:13 GMT",1.708,000000560,273.0,21.84,80.0,445.0,"Tue, 13 Nov 2018 20:30:55 GMT",True,"Wed, 14 Nov 2018 03:55:29 GMT",0.0
13707,2_39_92_442_2018-11-13 20:33:59.759592,"Tue, 13 Nov 2018 20:34:00 GMT","Wed, 14 Nov 2018 02:26:18 GMT","Wed, 14 Nov 2018 02:14:32 GMT",23.441,000000564,231.0,41.58,180.0,412.0,"Tue, 13 Nov 2018 20:34:21 GMT",True,"Wed, 14 Nov 2018 03:26:00 GMT",2.0
13708,2_39_78_367_2018-11-13 21:14:21.591817,"Tue, 13 Nov 2018 21:14:22 GMT","Wed, 14 Nov 2018 00:39:32 GMT","Tue, 13 Nov 2018 22:06:24 GMT",2.404,000000686,400.0,4.0,10.0,193.0,"Tue, 13 Nov 2018 21:14:31 GMT",True,"Wed, 14 Nov 2018 00:27:22 GMT",2.0
13709,2_39_123_557_2018-11-13 22:00:44.330687,"Tue, 13 Nov 2018 22:00:44 GMT","Wed, 14 Nov 2018 00:34:06 GMT","Tue, 13 Nov 2018 23:22:26 GMT",7.891,000001137,400.0,8.0,20.0,142.0,"Tue, 13 Nov 2018 22:03:07 GMT",True,"Wed, 14 Nov 2018 00:22:44 GMT",0.0
13710,2_39_78_362_2018-11-13 22:03:57.886636,"Tue, 13 Nov 2018 22:03:58 GMT","Wed, 14 Nov 2018 02:56:09 GMT","Wed, 14 Nov 2018 02:57:09 GMT",27.475,000000579,400.0,40.0,100.0,339.0,"Tue, 13 Nov 2018 22:04:18 GMT",True,"Wed, 14 Nov 2018 03:42:58 GMT",2.0
13711,2_39_129_17_2018-11-13 23:30:34.437713,"Tue, 13 Nov 2018 23:30:34 GMT","Wed, 14 Nov 2018 01:38:33 GMT","Wed, 14 Nov 2018 01:38:29 GMT",13.786,000000222,259.0,36.26,140.0,203.0,"Tue, 13 Nov 2018 23:30:37 GMT",True,"Wed, 14 Nov 2018 02:53:34 GMT",0.0
13712,2_39_79_379_2018-11-14 00:37:28.309187,"Wed, 14 Nov 2018 00:37:28 GMT","Wed, 14 Nov 2018 06:16:09 GMT","Wed, 14 Nov 2018 05:36:00 GMT",16.451,000000838,575.0,34.5,60.0,343.0,"Wed, 14 Nov 2018 00:40:42 GMT",True,"Wed, 14 Nov 2018 06:20:28 GMT",1.0
13713,2_39_79_377_2018-11-14 00:57:39.228214,"Wed, 14 Nov 2018 00:57:39 GMT","Wed, 14 Nov 2018 17:10:45 GMT","Wed, 14 Nov 2018 03:08:29 GMT",6.219,000001111,400.0,8.0,20.0,720.0,"Wed, 14 Nov 2018 00:58:18 GMT",True,"Wed, 14 Nov 2018 12:57:39 GMT",1.0
13715,2_39_79_381_2018-11-14 01:11:56.045241,"Wed, 14 Nov 2018 01:11:56 GMT","Wed, 14 Nov 2018 05:40:54 GMT","Wed, 14 Nov 2018 03:24:56 GMT",6.908,000001135,400.0,12.0,30.0,136.0,"Wed, 14 Nov 2018 01:12:04 GMT",True,"Wed, 14 Nov 2018 03:27:56 GMT",2.0
13716,2_39_139_28_2018-11-14 01:21:53.757500,"Wed, 14 Nov 2018 01:21:54 GMT","Wed, 14 Nov 2018 02:16:56 GMT","Wed, 14 Nov 2018 02:16:26 GMT",2.381,000001083,250.0,2.5,10.0,61.0,"Wed, 14 Nov 2018 01:22:36 GMT",True,"Wed, 14 Nov 2018 02:22:54 GMT",0.0
13717,2_39_131_30_2018-11-14 01:24:18.779180,"Wed, 14 Nov 2018 01:24:19 GMT","Wed, 14 Nov 2018 03:02:10 GMT","Wed, 14 Nov 2018 03:02:06 GMT",8.438,000000216,250.0,22.5,90.0,130.0,"Wed, 14 Nov 2018 01:24:51 GMT",True,"Wed, 14 Nov 2018 03:34:19 GMT",2.0
13718,2_39_89_25_2018-11-14 01:33:20.301035,"Wed, 14 Nov 2018 01:33:20 GMT","Wed, 14 Nov 2018 05:50:39 GMT","Wed, 14 Nov 2018 03:47:53 GMT",13.014,000000754,300.0,15.0,50.0,148.0,"Wed, 14 Nov 2018 01:33:37 GMT",True,"Wed, 14 Nov 2018 04:01:20 GMT",1.0
13720,2_39_139_28_2018-11-14 02:31:03.647313,"Wed, 14 Nov 2018 02:31:04 GMT","Wed, 14 Nov 2018 05:19:04 GMT","Wed, 14 Nov 2018 05:18:53 GMT",13.759,000001085,250.0,30.0,120.0,60.0,"Wed, 14 Nov 2018 02:32:03 GMT",True,"Wed, 14 Nov 2018 03:31:04 GMT",0.0
13721,2_39_131_30_2018-11-14 03:35:28.561909,"Wed, 14 Nov 2018 03:35:29 GMT","Wed, 14 Nov 2018 05:56:53 GMT","Wed, 14 Nov 2018 05:32:11 GMT",11.757,000001099,400.0,24.0,60.0,114.0,"Wed, 14 Nov 2018 03:35:34 GMT",True,"Wed, 14 Nov 2018 05:29:29 GMT",1.0
13723,2_39_125_21_2018-11-14 04:20:34.071822,"Wed, 14 Nov 2018 04:20:34 GMT","Wed, 14 Nov 2018 06:32:58 GMT","Wed, 14 Nov 2018 06:32:30 GMT",15.099,000000637,426.0,21.3,50.0,120.0,"Wed, 14 Nov 2018 04:20:37 GMT",True,"Wed, 14 Nov 2018 06:20:34 GMT",0.0
13724,2_39_92_436_2018-11-14 05:37:27.361093,"Wed, 14 Nov 2018 05:37:27 GMT","Wed, 14 Nov 2018 06:13:36 GMT","Wed, 14 Nov 2018 06:13:30 GMT",4.125,000001123,400.0,28.0,70.0,60.0,"Wed, 14 Nov 2018 05:37:56 GMT",True,"Wed, 14 Nov 2018 06:37:27 GMT",0.0
13725,2_39_90_26_2018-11-14 06:41:27.813811,"Wed, 14 Nov 2018 06:41:28 GMT","Wed, 14 Nov 2018 14:26:54 GMT","Wed, 14 Nov 2018 10:59:48 GMT",29.624,000000301,364.0,40.04,110.0,454.0,"Wed, 14 Nov 2018 06:42:32 GMT",True,"Wed, 14 Nov 2018 14:15:28 GMT",1.0
13726,2_39_78_366_2018-11-14 08:29:19.608780,"Wed, 14 Nov 2018 08:29:20 GMT","Wed, 14 Nov 2018 11:29:57 GMT","Wed, 14 Nov 2018 08:55:08 GMT",0.865,000001093,600.0,12.0,20.0,19.0,"Wed, 14 Nov 2018 08:29:20 GMT",True,"Wed, 14 Nov 2018 08:48:20 GMT",0.0
13727,2_39_138_29_2018-11-14 14:00:43.195577,"Wed, 14 Nov 2018 14:00:43 GMT","Wed, 14 Nov 2018 15:17:42 GMT","Wed, 14 Nov 2018 15:17:33 GMT",7.735,000001064,267.0,48.06,180.0,200.0,"Wed, 14 Nov 2018 14:02:14 GMT",True,"Wed, 14 Nov 2018 17:20:43 GMT",0.0
13728,2_39_79_379_2018-11-14 14:44:00.044542,"Wed, 14 Nov 2018 14:44:00 GMT","Thu, 15 Nov 2018 02:28:41 GMT","Wed, 14 Nov 2018 19:44:41 GMT",14.902,000001092,600.0,24.0,40.0,475.0,"Wed, 14 Nov 2018 14:44:05 GMT",True,"Wed, 14 Nov 2018 22:39:00 GMT",1.0
13729,2_39_91_441_2018-11-14 14:45:04.842651,"Wed, 14 Nov 2018 14:45:05 GMT","Wed, 14 Nov 2018 17:49:07 GMT","Wed, 14 Nov 2018 17:07:48 GMT",14.305,000000564,231.0,18.48,80.0,493.0,"Wed, 14 Nov 2018 14:48:03 GMT",True,"Wed, 14 Nov 2018 22:58:05 GMT",2.0
13730,2_39_79_380_2018-11-14 15:02:11.148090,"Wed, 14 Nov 2018 15:02:11 GMT","Thu, 15 Nov 2018 00:08:33 GMT","Wed, 14 Nov 2018 16:07:23 GMT",5.187,000000066,313.0,12.52,40.0,505.0,"Wed, 14 Nov 2018 15:02:23 GMT",True,"Wed, 14 Nov 2018 23:27:11 GMT",1.0
13731,2_39_78_361_2018-11-14 15:09:55.396198,"Wed, 14 Nov 2018 15:09:55 GMT","Wed, 14 Nov 2018 20:03:33 GMT","Wed, 14 Nov 2018 17:00:21 GMT",6.997,000000674,500.0,35.0,70.0,718.0,"Wed, 14 Nov 2018 15:10:52 GMT",True,"Thu, 15 Nov 2018 03:07:55 GMT",0.0
13732,2_39_95_27_2018-11-14 15:12:21.214415,"Wed, 14 Nov 2018 15:12:21 GMT","Thu, 15 Nov 2018 00:13:44 GMT","Wed, 14 Nov 2018 18:50:20 GMT",17.522,000000560,273.0,21.84,80.0,281.0,"Wed, 14 Nov 2018 15:12:30 GMT",True,"Wed, 14 Nov 2018 19:53:21 GMT",0.0
13733,2_39_78_366_2018-11-14 15:20:15.373049,"Wed, 14 Nov 2018 15:20:15 GMT","Thu, 15 Nov 2018 01:31:25 GMT","Wed, 14 Nov 2018 17:19:03 GMT",10.076,000000569,300.0,15.0,50.0,559.0,"Wed, 14 Nov 2018 15:20:21 GMT",True,"Thu, 15 Nov 2018 00:39:15 GMT",1.0
13734,2_39_139_28_2018-11-14 15:25:12.186881,"Wed, 14 Nov 2018 15:25:12 GMT","Thu, 15 Nov 2018 02:03:24 GMT","Wed, 14 Nov 2018 17:06:28 GMT",5.393,000001097,600.0,12.0,20.0,613.0,"Wed, 14 Nov 2018 15:25:39 GMT",True,"Thu, 15 Nov 2018 01:38:12 GMT",1.0
13735,2_39_79_378_2018-11-14 15:40:28.979767,"Wed, 14 Nov 2018 15:40:29 GMT","Thu, 15 Nov 2018 01:35:03 GMT","Wed, 14 Nov 2018 18:36:45 GMT",9.509,000000566,200.0,10.0,50.0,104.0,"Wed, 14 Nov 2018 15:41:03 GMT",True,"Wed, 14 Nov 2018 17:24:29 GMT",2.0
13736,2_39_79_376_2018-11-14 16:06:19.368624,"Wed, 14 Nov 2018 16:06:19 GMT","Wed, 14 Nov 2018 18:32:00 GMT","Wed, 14 Nov 2018 18:23:54 GMT",6.167,000001083,250.0,7.5,30.0,140.0,"Wed, 14 Nov 2018 16:07:20 GMT",True,"Wed, 14 Nov 2018 18:26:19 GMT",0.0
